"Freq [GHz]","dB(S(WavePort1,WavePort1)) [] - split1x='16mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='17mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='18mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='19mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='20mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='21mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='22mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='23mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='24mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='15mm'"
1,-2.39257299399456,-16.1189782369212,-6.9181792067296,-4.83062297681291,-1.91906043591262,-3.1662583940172,-4.18356152549867,-18.0643959619401,-6.25143959379858,-3.16330199944265
1.001,-2.39834674438446,-15.1401190509392,-6.66977106784856,-4.68321660212511,-1.91033196824185,-3.16082719377582,-4.1680498986967,-16.7048965733802,-6.09939078589723,-3.14665541066468
1.002,-2.40762297972932,-14.2654296473721,-6.43373347130204,-4.54203114613124,-1.90168365752249,-3.15533155326364,-4.15237789761174,-15.4658283124126,-5.94620818326999,-3.13011194009864
1.003,-2.42042488499696,-13.476875932147,-6.20925111990947,-4.40673921700719,-1.89311478509321,-3.14977198998302,-4.1365503416176,-14.3518007422137,-5.79268731867545,-3.11367171552314
1.004,-2.4367904102403,-12.7607127221109,-5.99558136409259,-4.27703475596479,-1.88462463861965,-3.14414903132868,-4.12057205149646,-13.3527972541767,-5.63952848897182,-3.09733484097225
1.005,-2.45677245186194,-12.1062496829309,-5.79204552699124,-4.15263127434119,-1.87621251209985,-3.13846321442955,-4.10444784597639,-12.4552975890278,-5.48734114989893,-3.08110139743608
1.006,-2.48043914422483,-11.5050194647265,-5.5980215316565,-4.0332602770387,-1.8678777058668,-3.13271508598718,-4.08818253834965,-11.6461698959089,-5.33664961332556,-3.06497144354783
1.007,-2.50787426381097,-10.9502051760283,-5.41293760135154,-3.91866984807198,-1.85961952658842,-3.12690520211072,-4.0717809331752,-10.9138255766118,-5.18789953900786,-3.04894501625755
1.008,-2.53917774935135,-10.436238051127,-5.23626684917273,-3.80862337763191,-1.8514372872649,-3.12103412814868,-4.05524782306782,-10.2483879980955,-5.04146481827725,-3.03302213149263
1.009,-2.5744663426196,-9.95850907970241,-5.06752260859063,-3.70289841311946,-1.84333030722374,-3.1151024385175,-4.03858798557651,-9.64153646348991,-4.89765454267281,-3.01720278480511
1.01,-2.61387435592026,-9.51315850588568,-4.90625438439938,-3.60128561914921,-1.83529791211236,-3.10911071652716,-4.02180618015438,-9.08627003786184,-4.7567198329445,-3.00148695200591
1.011,-2.65755457373551,-9.09691957469124,-4.75204432568908,-3.50358783365556,-1.82733943388863,-3.10305955420378,-4.00490714522186,-8.57667719884226,-4.61886037208953,-2.98587458978616
1.012,-2.70567929754878,-8.70700075995691,-4.60450414011068,-3.40961920903004,-1.81945421080921,-3.09694955210944,-3.98789559532501,-8.10773722779247,-4.48423054066479,-2.9703656363256
1.013,-2.75844154457248,-8.34099575098467,-4.46327238287128,-3.31920442873441,-1.81164158741604,-3.09078131915935,-3.97077621839037,-7.67515715707266,-4.35294509492599,-2.9549600118884
1.014,-2.8160564130104,-7.996813774035,-4.32801206532521,-3.23217799111147,-1.80390091452077,-3.08455547243639,-3.95355367307736,-7.27524065926635,-4.22508436013915,-2.93965761940628
1.015,-2.87876262862492,-7.67262502271527,-4.19840853729502,-3.14838355320891,-1.79623154918762,-3.07827263700324,-3.93623258622946,-6.9047834233325,-4.10069893453907,-2.92445834504926
1.016,-2.94682428981798,-7.36681746125114,-4.0741676048013,-3.06767332835107,-1.78863285471432,-3.07193344571216,-3.91881755042452,-6.56098973552481,-3.97981391559536,-2.9093620587841
1.017,-3.02053283123439,-7.07796229132594,-3.95501385105945,-2.98990753198648,-1.78110420061162,-3.06553853901257,-3.90131312162495,-6.2414057702033,-3.86243267103527,-2.89436861492056
1.018,-3.10020922914896,-6.80478609154448,-3.84068913367392,-2.91495387101354,-1.77364496258115,-3.05908856475656,-3.88372381692801,-5.94386596824461,-3.74854018375109,-2.87947785264567
1.019,-3.18620647570683,-6.54614814844948,-3.7309512351493,-2.84268707236579,-1.76625452249198,-3.05258417800237,-3.86605411241603,-5.66644965779143,-3.63810600335878,-2.86468959654621
1.02,-3.27891235358634,-6.30102186475806,-3.62557264730338,-2.77298844713721,-1.75893226835565,-3.04602604081615,-3.84830844110673,-5.40744570906782,-3.53108683861451,-2.85000365711933
1.021,-3.37875254801146,-6.0684793975711,-3.52433947305257,-2.70574548695918,-1.75167759430006,-3.0394148220719,-3.83049119100306,-5.16532351753169,-3.42742882480203,-2.83541983127186
1.022,-3.48619413947447,-5.84767887607651,-3.42705043144188,-2.64085148970986,-1.74448990054206,-3.03275119724986,-3.81260670324215,-4.93870899868893,-3.32706949907104,-2.82093790280807
1.023,-3.60174952829626,-5.63785369481619,-3.33351595380717,-2.57820521196321,-1.73736859335892,-3.02603584823346,-3.79465927034265,-4.72636457637772,-3.22993951491994,-2.80655764290631
1.024,-3.72598085160529,-5.43830348882742,-3.24355736064655,-2.51771054586232,-1.73031308505877,-3.01926946310492,-3.7766531345496,-4.52717237451857,-3.13596412484256,-2.79227881058461
1.025,-3.85950496487025,-5.24838648068812,-3.15700611020304,-2.45927621834819,-1.72332279394996,-3.0124527359396,-3.75859248627588,-4.34011999669636,-3.04506445780098,-2.77810115315534
