"Freq [GHz]","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='10mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='11mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='12mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='13mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='14mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='15mm'"
1,-1.77524354741032,-2.55568974086733,-2.30222084231197,-6.63494607631363,-5.10127631033335,-3.16330199944265
1.001,-1.78962446639703,-2.58192244157215,-2.30443647253171,-6.72959731707371,-5.28051968193927,-3.14665541066468
1.002,-1.8042065836162,-2.60855683847931,-2.30665608792253,-6.82544085477275,-5.4728824554879,-3.13011194009864
1.003,-1.81899308537073,-2.63559942760181,-2.30887964086464,-6.92244271849491,-5.67918643864718,-3.11367171552314
1.004,-1.83398720905401,-2.66305677484531,-2.31110708289594,-7.02056322032603,-5.90033209818498,-3.09733484097225
1.005,-1.8491922436172,-2.69093551349768,-2.31333836470377,-7.11975645603749,-6.13730523507338,-3.08110139743608
1.006,-1.86461153001309,-2.71924234141331,-2.31557343611675,-7.21996977603897,-6.3911842542535,-3.06497144354783
1.007,-1.88024846161376,-2.74798401786975,-2.31781224609652,-7.32114322715576,-6.66314792346252,-3.04894501625755
1.008,-1.89610648459953,-2.77716736007359,-2.32005474272959,-7.42320896642114,-6.9544833927264,-3.03302213149263
1.009,-1.91218909831658,-2.80679923929031,-2.32230087321911,-7.52609064884256,-7.26659403938863,-3.01720278480511
1.01,-1.92849985560002,-2.83688657657198,-2.32455058387673,-7.62970279203438,-7.60100635986239,-3.00148695200591
1.011,-1.94504236305936,-2.86743633805443,-2.32680382011447,-7.73395012171929,-7.95937456170386,-2.98587458978616
1.012,-1.96182028132323,-2.89845552979431,-2.32906052643656,-7.83872690341063,-8.34348057493932,-2.9703656363256
1.013,-1.97883732523929,-2.92995119211416,-2.33132064643139,-7.94391626710693,-8.75522566325845,-2.9549600118884
1.014,-1.99609726402612,-2.96193039342218,-2.33358412276341,-8.04938953358035,-9.19660728235969,-2.93965761940628
1.015,-2.01360392137251,-2.99440022347094,-2.33585089716516,-8.15500555281656,-9.66967065898502,-2.92445834504926
1.016,-2.03136117548025,-3.02736778601763,-2.33812091042923,-8.26061006737338,-10.1764176972111,-2.9093620587841
1.017,-2.04937295904557,-3.06084019084553,-2.34039410240037,-8.36603511584477,-10.7186445838846,-2.89436861492056
1.018,-2.06764325917462,-3.09482454510498,-2.34267041196757,-8.47109849422129,-11.2976613410317,-2.87947785264567
1.019,-2.08617611722755,-3.12932794392882,-2.34494977705628,-8.57560329567143,-11.9138182076673,-2.86468959654621
1.02,-2.10497562858604,-3.16435746027534,-2.34723213462056,-8.67933755205758,-12.5657220861122,-2.85000365711933
1.021,-2.1240459423382,-3.19992013394872,-2.34951742063543,-8.78207400323573,-13.248973470529,-2.83541983127186
1.022,-2.14339126087484,-3.23602295974452,-2.35180557008924,-8.88357002273445,-13.9542125036125,-2.82093790280807
1.023,-2.16301583939048,-3.27267287466442,-2.35409651697605,-8.98356773058557,-14.6643116462516,-2.80655764290631
1.024,-2.1829239852823,-3.30987674414218,-2.35639019428819,-9.0817943256762,-15.3508963215264,-2.79227881058461
1.025,-2.20312005743952,-3.34764134721865,-2.35868653400885,-9.17796267075894,-15.971377616946,-2.77810115315534
1.026,-2.22360846541559,-3.38597336060155,-2.36098546710478,-9.27177216291745,-16.4695442547225,-2.76402440666928
1.027,-2.24439366847484,-3.42487934154157,-2.36328692351907,-9.36290992054238,-16.7842561473281,-2.75004829634905
1.028,-2.26548017450499,-3.46436570945355,-2.36559083216405,-9.4510523144334,-16.8679393243326,-2.73617253701224
1.029,-2.28687253878607,-3.50443872620763,-2.36789712091428,-9.53586686523509,-16.7068637559942,-2.72239683348436
1.03,-2.30857536260633,-3.54510447501214,-2.37020571659969,-9.61701452182557,-16.3278748807343,-2.70872088100173
1.031,-2.3305932917145,-3.58636883780595,-2.37251654499884,-9.69415232538154,-15.7855360966597,-2.69514436560455
1.032,-2.35293101459763,-3.62823747107504,-2.37482953083223,-9.76693645165767,-15.1408537241451,-2.6816669645203
1.033,-2.37559326057294,-3.67071578000362,-2.37714459775587,-9.83502560972008,-14.4458043031961,-2.66828834653766
1.034,-2.39858479768157,-3.71380889086781,-2.37946166835491,-9.8980847593563,-13.7378698386738,-2.65500817237104
1.035,-2.42191043037122,-3.75752162157489,-2.38178066413743,-9.95578909225806,-13.0411278534145,-2.64182609501603
1.036,-2.44557499695424,-3.80185845024918,-2.38410150552846,-10.0078282046857,-12.3696262788197,-2.62874176009581
1.037,-2.46958336682674,-3.84682348176151,-2.38642411186402,-10.053910372711,-11.730699474674,-2.61575480619876
1.038,-2.49394043743371,-3.8924204120966,-2.38874840138552,-10.0937668265003,-11.127479895986,-2.60286486520743
1.039,-2.51865113096405,-3.9386524904499,-2.39107429123417,-10.127155908684,-10.5605937413812,-2.590071562619
1.04,-2.54372039075902,-3.98552247894331,-2.39340169744572,-10.1538669948765,-10.0292390318921,-2.57737451785746
1.041,-2.56915317741603,-4.0330326098469,-2.39573053494531,-10.1737240528785,-9.5318476662537,-2.56477334457764
1.042,-2.59495446456963,-4.08118454019295,-2.39806071754256,-10.1865887217279,-9.06648255799233,-2.5522676509612
1.043,-2.6211292343297,-4.12997930366767,-2.40039215792687,-10.1923628028559,-8.63107094108348,-2.53985704000486
1.044,-2.64768247235665,-4.17941725966623,-2.40272476766299,-10.190990072935,-8.22353798337897,-2.5275411098009
1.045,-2.67461916255167,-4.22949803939789,-2.40505845718676,-10.1824573508298,-7.84188035971851,-2.51531945381026
1.046,-2.70194428133965,-4.28022048893035,-2.40739313580112,-10.1667947781319,-7.48420398997088,-2.50319166112813
1.047,-2.7296627915207,-4.33158260906583,-2.40972871167242,-10.1440753024386,-7.14874062963314,-2.49115731674251
1.048,-2.75777963566554,-4.38358149194694,-2.41206509182693,-10.1144133829102,-6.83385219745513,-2.4792160017856
1.049,-2.78629972902828,-4.4362132542966,-2.41440218214771,-10.0779629667602,-6.5380281993727,-2.46736729377839
1.05,-2.8152279519497,-4.4894729672062,-2.41673988737163,-10.0349148113351,-6.25987946739104,-2.45561076686846
1.051,-2.84456914172177,-4.54335458239637,-2.41907811108687,-9.98549324780143,-5.99813013102365,-2.44394599206121
1.052,-2.87432808388409,-4.59785085488972,-2.42141675573058,-9.9299524980468,-5.75160894755767,-2.4323725374446
1.053,-2.90450950292052,-4.65295326205077,-2.42375572258696,-9.86857266564348,-5.51924063641967,-2.42088996840768
1.054,-2.93511805232375,-4.70865191896972,-2.42609491178559,-9.80165552453725,-5.30003757144702,-2.40949784785281
1.055,-2.96615830399371,-4.76493549018982,-2.42843422230019,-9.7295202259402,-5.09309200949868,-2.39819573640206
1.056,-2.99763473693461,-4.82179109780681,-2.43077355194769,-9.65249903553721,-4.89756892967524,-2.38698319259747
1.057,-3.02955172521376,-4.87920422600231,-2.43311279738765,-9.57093320064848,-4.71269949693264,-2.37585977309582
1.058,-3.06191352514451,-4.93715862211036,-2.43545185412215,-9.48516903165905,-4.53777513007929,-2.36482503285758
1.059,-3.09472426165344,-4.99563619436098,-2.43779061649596,-9.39555426507435,-4.37214213657055,-2.35387852533048
1.06,-3.12798791379146,-5.05461690649442,-2.44012897769722,-9.30243475814666,-4.21519686864677,-2.34301980262771
1.061,-3.16170829934651,-5.11407866949626,-2.44246682975847,-9.20615154813115,-4.06638135320278,-2.33224841570082
1.062,-3.19588905851486,-5.17399723076838,-2.44480406355821,-9.10703829365021,-3.92517934883932,-2.32156391450763
1.063,-3.23053363658621,-5.23434606112181,-2.44714056882276,-9.00541910192011,-3.79111278632711,-2.31096584817503
1.064,-3.26564526559737,-5.29509624005808,-2.44947623412876,-8.90160673405149,-3.6637385522899,-2.30045376515703
1.065,-3.30122694490762,-5.35621633989392,-2.45181094690606,-8.79590117140413,-3.54264557974687,-2.29002721338796
1.066,-3.33728142064863,-5.41767230938213,-2.45414459344104,-8.688588519028,-3.42745221293726,-2.27968574043113
